Localisation,COEFF F212,PROFIL,Nom,Missions en cours,Competences,Date Demarrage,Date de fin,Taux occupation,Stream BT,combined,n_tokens
Paris,170,Junior,Melissa Collins,Carroll Group,Project Management,2022-11-22,2024-10-02,38%,TALEND,"Localisation: Paris, Nom: Melissa Collins, Compétences: Project Management, Mission en cours: Carroll Group, Date de début de mission: 2022-11-22, Date de fin de mission: 2024-10-02, Taux d'occupation: 38%",61
Mtp,105,Expert,Lauren Reyes,"Houston, Mack and Meadows",Web Development,2023-03-24,2025-09-04,81%,TALEND,"Localisation: Mtp, Nom: Lauren Reyes, Compétences: Web Development, Mission en cours: Houston, Mack and Meadows, Date de début de mission: 2023-03-24, Date de fin de mission: 2025-09-04, Taux d'occupation: 81%",65
Tours,105,Confirmé,Scott Jensen,Bernard-Lee,Data Analysis,2024-06-12,2025-10-10,57%,DSIA,"Localisation: Tours, Nom: Scott Jensen, Compétences: Data Analysis, Mission en cours: Bernard-Lee, Date de début de mission: 2024-06-12, Date de fin de mission: 2025-10-10, Taux d'occupation: 57%",62
Mtp,115,Junior,Kenneth Robertson,"Hernandez, Garza and Huff",Data Analysis,2024-03-07,2025-07-16,80%,DSIA,"Localisation: Mtp, Nom: Kenneth Robertson, Compétences: Data Analysis, Mission en cours: Hernandez, Garza and Huff, Date de début de mission: 2024-03-07, Date de fin de mission: 2025-07-16, Taux d'occupation: 80%",66
Mtp,170,Expert,Andrea Thomas,Higgins-Brown,Business Analysis,2024-02-15,2025-06-23,69%,DSIA,"Localisation: Mtp, Nom: Andrea Thomas, Compétences: Business Analysis, Mission en cours: Higgins-Brown, Date de début de mission: 2024-02-15, Date de fin de mission: 2025-06-23, Taux d'occupation: 69%",63
Mtp,100,Junior,James Lin,Terry-Snyder,DevOps,2023-10-12,2026-05-08,97%,MSBI,"Localisation: Mtp, Nom: James Lin, Compétences: DevOps, Mission en cours: Terry-Snyder, Date de début de mission: 2023-10-12, Date de fin de mission: 2026-05-08, Taux d'occupation: 97%",63
Paris,100,Junior,Gerald Larsen,"Parks, Farley and Phillips",DevOps,2024-01-31,2025-03-25,92%,DSIA,"Localisation: Paris, Nom: Gerald Larsen, Compétences: DevOps, Mission en cours: Parks, Farley and Phillips, Date de début de mission: 2024-01-31, Date de fin de mission: 2025-03-25, Taux d'occupation: 92%",66
Tours,105,Junior,Kelly French,Clayton-Baker,IT Support,2022-06-14,2025-05-06,32%,SSIS,"Localisation: Tours, Nom: Kelly French, Compétences: IT Support, Mission en cours: Clayton-Baker, Date de début de mission: 2022-06-14, Date de fin de mission: 2025-05-06, Taux d'occupation: 32%",62
Mtp,170,Junior,John Brown,"Smith, Valdez and Gallegos",Mobile Development,2023-09-22,2025-10-31,90%,ODI,"Localisation: Mtp, Nom: John Brown, Compétences: Mobile Development, Mission en cours: Smith, Valdez and Gallegos, Date de début de mission: 2023-09-22, Date de fin de mission: 2025-10-31, Taux d'occupation: 90%",68
Paris,150,Confirmé,Michelle Welch,"Smith, Wright and Alvarez",Network Administration,2022-08-23,2025-05-24,24%,DSIA,"Localisation: Paris, Nom: Michelle Welch, Compétences: Network Administration, Mission en cours: Smith, Wright and Alvarez, Date de début de mission: 2022-08-23, Date de fin de mission: 2025-05-24, Taux d'occupation: 24%",64
Mtp,115,Expert,Francisco Smith,Johnson-Ward,Project Management,2023-10-08,2024-08-13,25%,ODI,"Localisation: Mtp, Nom: Francisco Smith, Compétences: Project Management, Mission en cours: Johnson-Ward, Date de début de mission: 2023-10-08, Date de fin de mission: 2024-08-13, Taux d'occupation: 25%",63
Mtp,170,Junior,John Brown,"Love, Chen and Robinson",Mobile Development,2024-02-23,2025-01-22,30%,ODI,"Localisation: Mtp, Nom: John Brown, Compétences: Mobile Development, Mission en cours: Love, Chen and Robinson, Date de début de mission: 2024-02-23, Date de fin de mission: 2025-01-22, Taux d'occupation: 30%",65
Mtp,100,Junior,Karen Wise,"Thompson, Lopez and Callahan",Business Analysis,2023-09-30,2026-02-28,34%,DSIA,"Localisation: Mtp, Nom: Karen Wise, Compétences: Business Analysis, Mission en cours: Thompson, Lopez and Callahan, Date de début de mission: 2023-09-30, Date de fin de mission: 2026-02-28, Taux d'occupation: 34%",66
Mtp,115,Confirmé,Dr. Angel Roberts,Smith PLC,Project Management,2023-01-30,2025-02-07,94%,ODI,"Localisation: Mtp, Nom: Dr. Angel Roberts, Compétences: Project Management, Mission en cours: Smith PLC, Date de début de mission: 2023-01-30, Date de fin de mission: 2025-02-07, Taux d'occupation: 94%",64
Paris,100,Junior,Rebecca Walsh,Mata-Hodges,Web Development,2022-09-29,2024-11-05,37%,TALEND,"Localisation: Paris, Nom: Rebecca Walsh, Compétences: Web Development, Mission en cours: Mata-Hodges, Date de début de mission: 2022-09-29, Date de fin de mission: 2024-11-05, Taux d'occupation: 37%",63
Paris,150,Expert,Danny Randall,"Scott, Brown and Hebert",Java Development,2023-09-04,2026-05-15,26%,SSIS,"Localisation: Paris, Nom: Danny Randall, Compétences: Java Development, Mission en cours: Scott, Brown and Hebert, Date de début de mission: 2023-09-04, Date de fin de mission: 2026-05-15, Taux d'occupation: 26%",65
Paris,100,Expert,Cynthia Thompson,Anthony-Pittman,Machine Learning,2022-09-01,2026-06-06,12%,DSIA,"Localisation: Paris, Nom: Cynthia Thompson, Compétences: Machine Learning, Mission en cours: Anthony-Pittman, Date de début de mission: 2022-09-01, Date de fin de mission: 2026-06-06, Taux d'occupation: 12%",63
Tours,150,Confirmé,Thomas Small,"Harding, Berry and Zuniga",Software Testing,2024-05-28,2025-10-07,25%,ODI,"Localisation: Tours, Nom: Thomas Small, Compétences: Software Testing, Mission en cours: Harding, Berry and Zuniga, Date de début de mission: 2024-05-28, Date de fin de mission: 2025-10-07, Taux d'occupation: 25%",66
Tours,105,Confirmé,Shelby Stephens,Griffin-Fischer,Web Development,2023-04-10,2026-01-21,28%,ODI,"Localisation: Tours, Nom: Shelby Stephens, Compétences: Web Development, Mission en cours: Griffin-Fischer, Date de début de mission: 2023-04-10, Date de fin de mission: 2026-01-21, Taux d'occupation: 28%",62
Tours,100,Confirmé,Robert Hall,Scott Ltd,Web Development,2023-05-20,2026-04-22,16%,TALEND,"Localisation: Tours, Nom: Robert Hall, Compétences: Web Development, Mission en cours: Scott Ltd, Date de début de mission: 2023-05-20, Date de fin de mission: 2026-04-22, Taux d'occupation: 16%",61
Mtp,100,Junior,David Cabrera,"Summers, Walls and Jacobson",Python Development,2022-06-19,2025-11-06,34%,MSBI,"Localisation: Mtp, Nom: David Cabrera, Compétences: Python Development, Mission en cours: Summers, Walls and Jacobson, Date de début de mission: 2022-06-19, Date de fin de mission: 2025-11-06, Taux d'occupation: 34%",67
Paris,115,Expert,Hailey Miller,Petersen-Brooks,Data Analysis,2024-05-11,2025-11-13,80%,MSBI,"Localisation: Paris, Nom: Hailey Miller, Compétences: Data Analysis, Mission en cours: Petersen-Brooks, Date de début de mission: 2024-05-11, Date de fin de mission: 2025-11-13, Taux d'occupation: 80%",65
Mtp,150,Expert,Patrick Williamson,"Jimenez, Kim and Anderson",Business Analysis,2022-06-24,2024-12-29,77%,MSBI,"Localisation: Mtp, Nom: Patrick Williamson, Compétences: Business Analysis, Mission en cours: Jimenez, Kim and Anderson, Date de début de mission: 2022-06-24, Date de fin de mission: 2024-12-29, Taux d'occupation: 77%",66
Mtp,105,Junior,William Wheeler,Chavez-Lang,Data Analysis,2024-05-29,2026-01-02,13%,MSBI,"Localisation: Mtp, Nom: William Wheeler, Compétences: Data Analysis, Mission en cours: Chavez-Lang, Date de début de mission: 2024-05-29, Date de fin de mission: 2026-01-02, Taux d'occupation: 13%",63
Paris,105,Expert,Michael Ferguson,Acosta-Davis,Web Development,2023-08-04,2026-01-02,36%,SSIS,"Localisation: Paris, Nom: Michael Ferguson, Compétences: Web Development, Mission en cours: Acosta-Davis, Date de début de mission: 2023-08-04, Date de fin de mission: 2026-01-02, Taux d'occupation: 36%",63
Tours,100,Confirmé,Jason Romero,Coleman PLC,Cybersecurity,2024-01-08,2026-01-11,87%,DSIA,"Localisation: Tours, Nom: Jason Romero, Compétences: Cybersecurity, Mission en cours: Coleman PLC, Date de début de mission: 2024-01-08, Date de fin de mission: 2026-01-11, Taux d'occupation: 87%",61
Paris,105,Confirmé,Maria Carter,Ware-Wade,IT Support,2024-04-30,2026-05-13,31%,MSBI,"Localisation: Paris, Nom: Maria Carter, Compétences: IT Support, Mission en cours: Ware-Wade, Date de début de mission: 2024-04-30, Date de fin de mission: 2026-05-13, Taux d'occupation: 31%",62
Paris,105,Junior,Tina Walton,"Edwards, Deleon and Powell",Business Analysis,2023-01-27,2025-12-07,72%,SSIS,"Localisation: Paris, Nom: Tina Walton, Compétences: Business Analysis, Mission en cours: Edwards, Deleon and Powell, Date de début de mission: 2023-01-27, Date de fin de mission: 2025-12-07, Taux d'occupation: 72%",65
Mtp,170,Junior,Eric Shaw,"Bennett, Tate and Fitzgerald",Software Testing,2022-11-03,2025-06-03,72%,DSIA,"Localisation: Mtp, Nom: Eric Shaw, Compétences: Software Testing, Mission en cours: Bennett, Tate and Fitzgerald, Date de début de mission: 2022-11-03, Date de fin de mission: 2025-06-03, Taux d'occupation: 72%",65
Mtp,105,Junior,Maurice Thompson,"Snyder, Perry and Poole",Web Development,2022-12-29,2024-09-26,77%,SSIS,"Localisation: Mtp, Nom: Maurice Thompson, Compétences: Web Development, Mission en cours: Snyder, Perry and Poole, Date de début de mission: 2022-12-29, Date de fin de mission: 2024-09-26, Taux d'occupation: 77%",66
Tours,150,Confirmé,Jessica Smith,"Hernandez, Weeks and Patterson",Web Development,2023-01-03,2024-07-26,81%,TALEND,"Localisation: Tours, Nom: Jessica Smith, Compétences: Web Development, Mission en cours: Hernandez, Weeks and Patterson, Date de début de mission: 2023-01-03, Date de fin de mission: 2024-07-26, Taux d'occupation: 81%",64
Paris,170,Confirmé,Luis Day,"Miles, Moran and Morales",Machine Learning,2024-01-05,2025-08-01,36%,MSBI,"Localisation: Paris, Nom: Luis Day, Compétences: Machine Learning, Mission en cours: Miles, Moran and Morales, Date de début de mission: 2024-01-05, Date de fin de mission: 2025-08-01, Taux d'occupation: 36%",64
Tours,150,Confirmé,Bryan Smith,"Long, Harrison and Perez",Business Analysis,2023-03-03,2024-12-28,27%,DSIA,"Localisation: Tours, Nom: Bryan Smith, Compétences: Business Analysis, Mission en cours: Long, Harrison and Perez, Date de début de mission: 2023-03-03, Date de fin de mission: 2024-12-28, Taux d'occupation: 27%",64
Paris,170,Confirmé,Wanda Parker,Ray LLC,Software Testing,2024-01-12,2026-06-12,53%,TALEND,"Localisation: Paris, Nom: Wanda Parker, Compétences: Software Testing, Mission en cours: Ray LLC, Date de début de mission: 2024-01-12, Date de fin de mission: 2026-06-12, Taux d'occupation: 53%",62
Paris,150,Junior,Karen Short,Steele-Ortiz,Python Development,2024-01-10,2026-04-07,59%,MSBI,"Localisation: Paris, Nom: Karen Short, Compétences: Python Development, Mission en cours: Steele-Ortiz, Date de début de mission: 2024-01-10, Date de fin de mission: 2026-04-07, Taux d'occupation: 59%",64
Tours,100,Expert,Brian Hogan,"Taylor, Miller and Rangel",Web Development,2023-04-06,2025-06-10,46%,MSBI,"Localisation: Tours, Nom: Brian Hogan, Compétences: Web Development, Mission en cours: Taylor, Miller and Rangel, Date de début de mission: 2023-04-06, Date de fin de mission: 2025-06-10, Taux d'occupation: 46%",65
Paris,105,Expert,Yvonne James,"George, Jacobs and Wood",Data Analysis,2023-03-29,2024-07-12,93%,ODI,"Localisation: Paris, Nom: Yvonne James, Compétences: Data Analysis, Mission en cours: George, Jacobs and Wood, Date de début de mission: 2023-03-29, Date de fin de mission: 2024-07-12, Taux d'occupation: 93%",66
Paris,105,Junior,Theresa Wilson,Camacho-Mcdaniel,Software Testing,2022-11-28,2025-02-12,84%,DSIA,"Localisation: Paris, Nom: Theresa Wilson, Compétences: Software Testing, Mission en cours: Camacho-Mcdaniel, Date de début de mission: 2022-11-28, Date de fin de mission: 2025-02-12, Taux d'occupation: 84%",64
Paris,150,Junior,Michael Butler,"Perez, Harrison and Reid",Java Development,2024-02-05,2024-06-19,48%,TALEND,"Localisation: Paris, Nom: Michael Butler, Compétences: Java Development, Mission en cours: Perez, Harrison and Reid, Date de début de mission: 2024-02-05, Date de fin de mission: 2024-06-19, Taux d'occupation: 48%",64
Paris,115,Confirmé,Shelby Taylor,West-Robinson,Cybersecurity,2023-06-04,2025-11-28,61%,DSIA,"Localisation: Paris, Nom: Shelby Taylor, Compétences: Cybersecurity, Mission en cours: West-Robinson, Date de début de mission: 2023-06-04, Date de fin de mission: 2025-11-28, Taux d'occupation: 61%",63
Paris,115,Expert,Eric Berry,Lopez LLC,Software Testing,2023-10-23,2024-09-27,52%,SSIS,"Localisation: Paris, Nom: Eric Berry, Compétences: Software Testing, Mission en cours: Lopez LLC, Date de début de mission: 2023-10-23, Date de fin de mission: 2024-09-27, Taux d'occupation: 52%",61
Tours,105,Junior,Kevin Jackson,"Stanley, Smith and Mathis",Software Testing,2023-08-28,2024-10-29,70%,TALEND,"Localisation: Tours, Nom: Kevin Jackson, Compétences: Software Testing, Mission en cours: Stanley, Smith and Mathis, Date de début de mission: 2023-08-28, Date de fin de mission: 2024-10-29, Taux d'occupation: 70%",65
Tours,150,Expert,Robin Wells,"Horton, Miller and Smith",Data Analysis,2024-03-17,2026-05-24,35%,MSBI,"Localisation: Tours, Nom: Robin Wells, Compétences: Data Analysis, Mission en cours: Horton, Miller and Smith, Date de début de mission: 2024-03-17, Date de fin de mission: 2026-05-24, Taux d'occupation: 35%",64
Tours,105,Confirmé,Cheryl Nguyen,Miller-Woods,Database Management,2023-05-16,2024-08-05,53%,MSBI,"Localisation: Tours, Nom: Cheryl Nguyen, Compétences: Database Management, Mission en cours: Miller-Woods, Date de début de mission: 2023-05-16, Date de fin de mission: 2024-08-05, Taux d'occupation: 53%",62
Mtp,150,Expert,Sarah Cook,Martin-Booker,Cybersecurity,2023-02-23,2025-03-01,68%,TALEND,"Localisation: Mtp, Nom: Sarah Cook, Compétences: Cybersecurity, Mission en cours: Martin-Booker, Date de début de mission: 2023-02-23, Date de fin de mission: 2025-03-01, Taux d'occupation: 68%",64
Paris,115,Confirmé,Michelle Cross,Williams-Harris,Java Development,2023-01-29,2025-07-25,83%,DSIA,"Localisation: Paris, Nom: Michelle Cross, Compétences: Java Development, Mission en cours: Williams-Harris, Date de début de mission: 2023-01-29, Date de fin de mission: 2025-07-25, Taux d'occupation: 83%",62
Tours,150,Junior,Gregory Ponce,Daniels PLC,Business Analysis,2024-04-13,2024-11-29,30%,SSIS,"Localisation: Tours, Nom: Gregory Ponce, Compétences: Business Analysis, Mission en cours: Daniels PLC, Date de début de mission: 2024-04-13, Date de fin de mission: 2024-11-29, Taux d'occupation: 30%",62
Tours,105,Confirmé,Luis Freeman,Graham PLC,Cybersecurity,2023-12-24,2026-03-08,28%,SSIS,"Localisation: Tours, Nom: Luis Freeman, Compétences: Cybersecurity, Mission en cours: Graham PLC, Date de début de mission: 2023-12-24, Date de fin de mission: 2026-03-08, Taux d'occupation: 28%",61
Paris,115,Junior,Wayne Walters,Lee-Lopez,Mobile Development,2024-03-28,2026-02-23,28%,TALEND,"Localisation: Paris, Nom: Wayne Walters, Compétences: Mobile Development, Mission en cours: Lee-Lopez, Date de début de mission: 2024-03-28, Date de fin de mission: 2026-02-23, Taux d'occupation: 28%",62
Mtp,100,Expert,James Sherman,Randall-Shepherd,Software Testing,2023-04-16,2026-04-22,80%,SSIS,"Localisation: Mtp, Nom: James Sherman, Compétences: Software Testing, Mission en cours: Randall-Shepherd, Date de début de mission: 2023-04-16, Date de fin de mission: 2026-04-22, Taux d'occupation: 80%",64
Tours,115,Expert,David Davis,Wagner LLC,Database Management,2023-05-28,2024-08-06,92%,MSBI,"Localisation: Tours, Nom: David Davis, Compétences: Database Management, Mission en cours: Wagner LLC, Date de début de mission: 2023-05-28, Date de fin de mission: 2024-08-06, Taux d'occupation: 92%",61
Mtp,115,Confirmé,Keith Burnett,Miller Inc,Project Management,2022-12-02,2025-08-26,71%,TALEND,"Localisation: Mtp, Nom: Keith Burnett, Compétences: Project Management, Mission en cours: Miller Inc, Date de début de mission: 2022-12-02, Date de fin de mission: 2025-08-26, Taux d'occupation: 71%",62
Paris,150,Confirmé,Douglas Sanchez,"Murphy, Blake and Elliott",Software Testing,2024-06-03,2025-12-11,70%,DSIA,"Localisation: Paris, Nom: Douglas Sanchez, Compétences: Software Testing, Mission en cours: Murphy, Blake and Elliott, Date de début de mission: 2024-06-03, Date de fin de mission: 2025-12-11, Taux d'occupation: 70%",64
Paris,105,Expert,Angela Owens,Graves and Sons,Database Management,2023-02-10,2025-08-05,33%,TALEND,"Localisation: Paris, Nom: Angela Owens, Compétences: Database Management, Mission en cours: Graves and Sons, Date de début de mission: 2023-02-10, Date de fin de mission: 2025-08-05, Taux d'occupation: 33%",62
Paris,150,Junior,Craig Stone,"Moore, Ramos and Murphy",Project Management,2022-12-05,2024-09-24,23%,DSIA,"Localisation: Paris, Nom: Craig Stone, Compétences: Project Management, Mission en cours: Moore, Ramos and Murphy, Date de début de mission: 2022-12-05, Date de fin de mission: 2024-09-24, Taux d'occupation: 23%",64
Paris,170,Expert,Kevin Hoffman,Lewis-Weiss,Database Management,2023-12-09,2026-05-07,87%,SSIS,"Localisation: Paris, Nom: Kevin Hoffman, Compétences: Database Management, Mission en cours: Lewis-Weiss, Date de début de mission: 2023-12-09, Date de fin de mission: 2026-05-07, Taux d'occupation: 87%",63
Mtp,170,Junior,Jeffrey Scott,Huang-Wilson,Business Analysis,2023-04-02,2024-07-23,55%,ODI,"Localisation: Mtp, Nom: Jeffrey Scott, Compétences: Business Analysis, Mission en cours: Huang-Wilson, Date de début de mission: 2023-04-02, Date de fin de mission: 2024-07-23, Taux d'occupation: 55%",64
Mtp,170,Expert,Gary Steele,"Kirby, May and Wade",Machine Learning,2023-03-23,2026-02-26,56%,TALEND,"Localisation: Mtp, Nom: Gary Steele, Compétences: Machine Learning, Mission en cours: Kirby, May and Wade, Date de début de mission: 2023-03-23, Date de fin de mission: 2026-02-26, Taux d'occupation: 56%",65
Mtp,115,Junior,Daniel Morales DDS,Cole-Richardson,Data Analysis,2023-03-07,2025-08-06,55%,MSBI,"Localisation: Mtp, Nom: Daniel Morales DDS, Compétences: Data Analysis, Mission en cours: Cole-Richardson, Date de début de mission: 2023-03-07, Date de fin de mission: 2025-08-06, Taux d'occupation: 55%",66
Mtp,170,Confirmé,Catherine Moore,"Tucker, Nguyen and Baker",Cloud Computing,2023-01-01,2024-11-10,97%,MSBI,"Localisation: Mtp, Nom: Catherine Moore, Compétences: Cloud Computing, Mission en cours: Tucker, Nguyen and Baker, Date de début de mission: 2023-01-01, Date de fin de mission: 2024-11-10, Taux d'occupation: 97%",65
Mtp,105,Expert,Angela Rodriguez,Ellis Group,Cybersecurity,2023-09-19,2025-08-11,50%,TALEND,"Localisation: Mtp, Nom: Angela Rodriguez, Compétences: Cybersecurity, Mission en cours: Ellis Group, Date de début de mission: 2023-09-19, Date de fin de mission: 2025-08-11, Taux d'occupation: 50%",62
Tours,115,Expert,Lisa Tyler,"Sanchez, Evans and Cordova",DevOps,2023-05-27,2024-08-28,81%,MSBI,"Localisation: Tours, Nom: Lisa Tyler, Compétences: DevOps, Mission en cours: Sanchez, Evans and Cordova, Date de début de mission: 2023-05-27, Date de fin de mission: 2024-08-28, Taux d'occupation: 81%",65
Paris,105,Confirmé,Bryan Fox,Walker-Rodriguez,Project Management,2023-05-03,2025-03-20,44%,MSBI,"Localisation: Paris, Nom: Bryan Fox, Compétences: Project Management, Mission en cours: Walker-Rodriguez, Date de début de mission: 2023-05-03, Date de fin de mission: 2025-03-20, Taux d'occupation: 44%",64
Paris,150,Confirmé,Fernando Prince,Baker and Sons,IT Support,2023-07-05,2025-01-04,34%,MSBI,"Localisation: Paris, Nom: Fernando Prince, Compétences: IT Support, Mission en cours: Baker and Sons, Date de début de mission: 2023-07-05, Date de fin de mission: 2025-01-04, Taux d'occupation: 34%",62
Tours,100,Junior,Louis Hogan,Herring-Morgan,Cloud Computing,2022-06-26,2025-08-04,75%,SSIS,"Localisation: Tours, Nom: Louis Hogan, Compétences: Cloud Computing, Mission en cours: Herring-Morgan, Date de début de mission: 2022-06-26, Date de fin de mission: 2025-08-04, Taux d'occupation: 75%",63
Paris,105,Confirmé,Amy Jones,Brennan LLC,Cybersecurity,2023-11-11,2025-05-13,49%,SSIS,"Localisation: Paris, Nom: Amy Jones, Compétences: Cybersecurity, Mission en cours: Brennan LLC, Date de début de mission: 2023-11-11, Date de fin de mission: 2025-05-13, Taux d'occupation: 49%",61
Tours,105,Confirmé,Brandon Henry,Campbell-Norton,Business Analysis,2023-08-28,2024-12-30,28%,SSIS,"Localisation: Tours, Nom: Brandon Henry, Compétences: Business Analysis, Mission en cours: Campbell-Norton, Date de début de mission: 2023-08-28, Date de fin de mission: 2024-12-30, Taux d'occupation: 28%",62
Paris,150,Expert,Anna Berger,Wallace-Morgan,Network Administration,2023-07-18,2024-12-11,61%,TALEND,"Localisation: Paris, Nom: Anna Berger, Compétences: Network Administration, Mission en cours: Wallace-Morgan, Date de début de mission: 2023-07-18, Date de fin de mission: 2024-12-11, Taux d'occupation: 61%",62
Paris,105,Junior,Carolyn Jones,Mcdaniel-Brown,Database Management,2023-08-10,2026-06-12,96%,ODI,"Localisation: Paris, Nom: Carolyn Jones, Compétences: Database Management, Mission en cours: Mcdaniel-Brown, Date de début de mission: 2023-08-10, Date de fin de mission: 2026-06-12, Taux d'occupation: 96%",64
Tours,170,Expert,Alexander Grant,Burton-Casey,Cloud Computing,2024-02-08,2024-07-30,28%,DSIA,"Localisation: Tours, Nom: Alexander Grant, Compétences: Cloud Computing, Mission en cours: Burton-Casey, Date de début de mission: 2024-02-08, Date de fin de mission: 2024-07-30, Taux d'occupation: 28%",63
Tours,105,Expert,Patricia Pratt,Sanchez Inc,DevOps,2023-07-11,2026-04-03,47%,ODI,"Localisation: Tours, Nom: Patricia Pratt, Compétences: DevOps, Mission en cours: Sanchez Inc, Date de début de mission: 2023-07-11, Date de fin de mission: 2026-04-03, Taux d'occupation: 47%",61
Tours,150,Junior,Julie Ashley,White LLC,Data Analysis,2024-05-17,2026-01-08,55%,MSBI,"Localisation: Tours, Nom: Julie Ashley, Compétences: Data Analysis, Mission en cours: White LLC, Date de début de mission: 2024-05-17, Date de fin de mission: 2026-01-08, Taux d'occupation: 55%",61
Paris,150,Junior,Ronald Miller,"Bartlett, Tate and Robertson",Web Development,2024-02-28,2025-08-13,64%,MSBI,"Localisation: Paris, Nom: Ronald Miller, Compétences: Web Development, Mission en cours: Bartlett, Tate and Robertson, Date de début de mission: 2024-02-28, Date de fin de mission: 2025-08-13, Taux d'occupation: 64%",65
Paris,105,Junior,Mark Wright,Howard-Johnson,Software Testing,2023-12-16,2026-02-19,56%,SSIS,"Localisation: Paris, Nom: Mark Wright, Compétences: Software Testing, Mission en cours: Howard-Johnson, Date de début de mission: 2023-12-16, Date de fin de mission: 2026-02-19, Taux d'occupation: 56%",63
Paris,100,Expert,Amy Brown,Harrison-Smith,Database Management,2024-05-08,2025-08-02,19%,SSIS,"Localisation: Paris, Nom: Amy Brown, Compétences: Database Management, Mission en cours: Harrison-Smith, Date de début de mission: 2024-05-08, Date de fin de mission: 2025-08-02, Taux d'occupation: 19%",61
Tours,170,Junior,Joseph Murray,Ramos-Kramer,Business Analysis,2022-11-24,2025-03-14,53%,MSBI,"Localisation: Tours, Nom: Joseph Murray, Compétences: Business Analysis, Mission en cours: Ramos-Kramer, Date de début de mission: 2022-11-24, Date de fin de mission: 2025-03-14, Taux d'occupation: 53%",62
Mtp,100,Expert,Dustin Franklin,Williams Ltd,Machine Learning,2023-02-11,2024-10-19,28%,TALEND,"Localisation: Mtp, Nom: Dustin Franklin, Compétences: Machine Learning, Mission en cours: Williams Ltd, Date de début de mission: 2023-02-11, Date de fin de mission: 2024-10-19, Taux d'occupation: 28%",62
Mtp,170,Junior,Karen Hughes,"Page, Terry and Hall",Web Development,2024-04-13,2026-03-09,53%,TALEND,"Localisation: Mtp, Nom: Karen Hughes, Compétences: Web Development, Mission en cours: Page, Terry and Hall, Date de début de mission: 2024-04-13, Date de fin de mission: 2026-03-09, Taux d'occupation: 53%",65
Paris,100,Confirmé,Samantha Larsen,Hardin-Walker,IT Support,2024-03-04,2026-03-01,96%,TALEND,"Localisation: Paris, Nom: Samantha Larsen, Compétences: IT Support, Mission en cours: Hardin-Walker, Date de début de mission: 2024-03-04, Date de fin de mission: 2026-03-01, Taux d'occupation: 96%",64
Tours,105,Junior,Daniel Wilson MD,Mason Ltd,Cloud Computing,2022-10-21,2025-01-21,32%,DSIA,"Localisation: Tours, Nom: Daniel Wilson MD, Compétences: Cloud Computing, Mission en cours: Mason Ltd, Date de début de mission: 2022-10-21, Date de fin de mission: 2025-01-21, Taux d'occupation: 32%",62
Paris,105,Confirmé,Bethany Figueroa MD,"Luna, Schwartz and Wilson",IT Support,2024-04-24,2024-08-29,15%,ODI,"Localisation: Paris, Nom: Bethany Figueroa MD, Compétences: IT Support, Mission en cours: Luna, Schwartz and Wilson, Date de début de mission: 2024-04-24, Date de fin de mission: 2024-08-29, Taux d'occupation: 15%",69
Mtp,100,Expert,Anthony Edwards,Lambert Group,Database Management,2022-07-13,2024-12-09,100%,TALEND,"Localisation: Mtp, Nom: Anthony Edwards, Compétences: Database Management, Mission en cours: Lambert Group, Date de début de mission: 2022-07-13, Date de fin de mission: 2024-12-09, Taux d'occupation: 100%",62
Paris,150,Expert,Mario Edwards,Smith and Sons,Web Development,2022-09-16,2024-08-08,60%,MSBI,"Localisation: Paris, Nom: Mario Edwards, Compétences: Web Development, Mission en cours: Smith and Sons, Date de début de mission: 2022-09-16, Date de fin de mission: 2024-08-08, Taux d'occupation: 60%",62
Mtp,170,Junior,Kimberly Obrien,Hernandez-Fitzpatrick,Software Testing,2022-12-06,2025-04-29,18%,TALEND,"Localisation: Mtp, Nom: Kimberly Obrien, Compétences: Software Testing, Mission en cours: Hernandez-Fitzpatrick, Date de début de mission: 2022-12-06, Date de fin de mission: 2025-04-29, Taux d'occupation: 18%",65
Tours,105,Expert,Eric Knox,"Jones, Salazar and Smith",Cybersecurity,2022-10-29,2025-06-18,86%,MSBI,"Localisation: Tours, Nom: Eric Knox, Compétences: Cybersecurity, Mission en cours: Jones, Salazar and Smith, Date de début de mission: 2022-10-29, Date de fin de mission: 2025-06-18, Taux d'occupation: 86%",65
Paris,150,Junior,Marvin Lopez,Bray-Jordan,Network Administration,2023-12-03,2024-11-15,57%,DSIA,"Localisation: Paris, Nom: Marvin Lopez, Compétences: Network Administration, Mission en cours: Bray-Jordan, Date de début de mission: 2023-12-03, Date de fin de mission: 2024-11-15, Taux d'occupation: 57%",62
Mtp,105,Junior,Adam Higgins,Hall LLC,Database Management,2024-01-10,2025-02-19,38%,ODI,"Localisation: Mtp, Nom: Adam Higgins, Compétences: Database Management, Mission en cours: Hall LLC, Date de début de mission: 2024-01-10, Date de fin de mission: 2025-02-19, Taux d'occupation: 38%",62
Mtp,105,Confirmé,Lori Camacho,"Roberts, Daniels and Griffin",Database Management,2022-07-03,2025-11-02,21%,MSBI,"Localisation: Mtp, Nom: Lori Camacho, Compétences: Database Management, Mission en cours: Roberts, Daniels and Griffin, Date de début de mission: 2022-07-03, Date de fin de mission: 2025-11-02, Taux d'occupation: 21%",66
